  PMO DEZEMBRO - 2023 - Niveis para 25/11 NW versao 28.0.3                        
     ENERGIA AFLUENTE TOTAL BRUTA (MWmes)                  REE:IGUACU                                    

     ANO: 2015
           1        2        3        4        5        6        7        8        9       10       11       12      MEDIA 
     1       0.       0.       0.       0.       0.       0.       0.       0.    5215.   10578.    3464.    1932.    5298.
     2       0.       0.       0.       0.       0.       0.       0.       0.    2527.    4617.    3170.    4215.    3633.
     3       0.       0.       0.       0.       0.       0.       0.       0.    1491.    9935.    3985.    2935.    4587.
     4       0.       0.       0.       0.       0.       0.       0.       0.    4587.   16196.    6469.    5864.    8279.
     5       0.       0.       0.       0.       0.       0.       0.       0.    1712.    6481.    2390.    1720.    3076.
     6       0.       0.       0.       0.       0.       0.       0.       0.    3875.    4692.    2834.    5388.    4197.
     7       0.       0.       0.       0.       0.       0.       0.       0.    4110.    5721.    2426.    3103.    3840.
     8       0.       0.       0.       0.       0.       0.       0.       0.    5232.    5534.    2777.    1923.    3866.
     9       0.       0.       0.       0.       0.       0.       0.       0.    7212.    5328.    3182.    1160.    4221.
    10       0.       0.       0.       0.       0.       0.       0.       0.    7473.    5900.    2171.    2476.    4505.
    11       0.       0.       0.       0.       0.       0.       0.       0.    5264.    2966.    3215.    2111.    3389.
    12       0.       0.       0.       0.       0.       0.       0.       0.    7498.    5297.    4572.    4066.    5359.
    13       0.       0.       0.       0.       0.       0.       0.       0.    6198.    6755.    2585.    2769.    4577.
    14       0.       0.       0.       0.       0.       0.       0.       0.    2249.    2260.    2716.    2636.    2465.
    15       0.       0.       0.       0.       0.       0.       0.       0.    2858.    3195.    1316.    1070.    2110.
    16       0.       0.       0.       0.       0.       0.       0.       0.    4366.    5219.    4120.    3614.    4330.
    17       0.       0.       0.       0.       0.       0.       0.       0.    1984.    8681.    3659.    2610.    4233.
    18       0.       0.       0.       0.       0.       0.       0.       0.    5525.    6726.    2456.    1415.    4030.
    19       0.       0.       0.       0.       0.       0.       0.       0.    5082.    4839.    4905.    4237.    4766.
    20       0.       0.       0.       0.       0.       0.       0.       0.    2565.    5758.    2807.    3473.    3651.
    21       0.       0.       0.       0.       0.       0.       0.       0.    3751.    5794.    2918.    1249.    3428.
    22       0.       0.       0.       0.       0.       0.       0.       0.    3528.    4365.    3232.    3560.    3671.
    23       0.       0.       0.       0.       0.       0.       0.       0.    4307.    4015.    6178.    5839.    5085.
    24       0.       0.       0.       0.       0.       0.       0.       0.    2832.    4210.    2778.    2111.    2983.
    25       0.       0.       0.       0.       0.       0.       0.       0.    6395.    6799.   10525.   10034.    8438.
