  PMO DEZEMBRO - 2023 - Niveis para 25/11 NW versao 28.0.3                        
     ENERGIA AFLUENTE TOTAL BRUTA (MWmes)                  REE:PARANA                                    

     ANO: 2014
           1        2        3        4        5        6        7        8        9       10       11       12      MEDIA 
     1       0.       0.       0.       0.       0.       0.       0.       0.       0.    8123.   11213.   14991.   11442.
     2       0.       0.       0.       0.       0.       0.       0.       0.       0.    6730.   12367.   27382.   15493.
     3       0.       0.       0.       0.       0.       0.       0.       0.       0.    7759.   20553.   28266.   18859.
     4       0.       0.       0.       0.       0.       0.       0.       0.       0.    6469.   16663.   16105.   13079.
     5       0.       0.       0.       0.       0.       0.       0.       0.       0.    4588.   11386.   15780.   10585.
     6       0.       0.       0.       0.       0.       0.       0.       0.       0.    4519.   14284.   16515.   11772.
     7       0.       0.       0.       0.       0.       0.       0.       0.       0.    9044.   19759.   22700.   17168.
     8       0.       0.       0.       0.       0.       0.       0.       0.       0.    6051.   11069.   17720.   11613.
     9       0.       0.       0.       0.       0.       0.       0.       0.       0.    7499.   12687.   15089.   11758.
    10       0.       0.       0.       0.       0.       0.       0.       0.       0.    5033.    8444.   11389.    8289.
    11       0.       0.       0.       0.       0.       0.       0.       0.       0.    9021.   14159.   18557.   13912.
    12       0.       0.       0.       0.       0.       0.       0.       0.       0.    9908.   15214.   13708.   12943.
    13       0.       0.       0.       0.       0.       0.       0.       0.       0.   10187.   14848.   26617.   17218.
    14       0.       0.       0.       0.       0.       0.       0.       0.       0.    6681.    8659.   20151.   11830.
    15       0.       0.       0.       0.       0.       0.       0.       0.       0.    7105.    7487.   13395.    9329.
    16       0.       0.       0.       0.       0.       0.       0.       0.       0.    5224.    9351.   18270.   10948.
    17       0.       0.       0.       0.       0.       0.       0.       0.       0.    6066.   10655.   19088.   11936.
    18       0.       0.       0.       0.       0.       0.       0.       0.       0.    9435.   12352.   16200.   12662.
    19       0.       0.       0.       0.       0.       0.       0.       0.       0.    7761.   16733.   22016.   15503.
    20       0.       0.       0.       0.       0.       0.       0.       0.       0.    5825.   10428.   14957.   10403.
    21       0.       0.       0.       0.       0.       0.       0.       0.       0.    5640.   11679.   13223.   10181.
    22       0.       0.       0.       0.       0.       0.       0.       0.       0.    6273.    8166.   12481.    8973.
    23       0.       0.       0.       0.       0.       0.       0.       0.       0.    4387.   10071.   14945.    9801.
    24       0.       0.       0.       0.       0.       0.       0.       0.       0.    5405.   13184.   16935.   11841.
