  PMO DEZEMBRO - 2023 - Niveis para 25/11 NW versao 28.0.3                        
     ENERGIA AFLUENTE TOTAL BRUTA                          SUBMERCADO:SUL                                

     ANO: 2024
           1        2        3        4        5        6        7        8        9       10       11       12      MEDIA 
     1       0.       0.       0.       0.       0.       0.       0.       0.       0.    5996.   14486.    6523.    9002.
     2       0.       0.       0.       0.       0.       0.       0.       0.       0.    1898.    3060.    2920.    2626.
     3       0.       0.       0.       0.       0.       0.       0.       0.       0.    1573.   10194.    5041.    5603.
     4       0.       0.       0.       0.       0.       0.       0.       0.       0.    3236.    9549.    5941.    6242.
     5       0.       0.       0.       0.       0.       0.       0.       0.       0.    1021.    2948.    1641.    1870.
     6       0.       0.       0.       0.       0.       0.       0.       0.       0.    2338.    3166.    3838.    3114.
     7       0.       0.       0.       0.       0.       0.       0.       0.       0.    2323.    2896.    2228.    2483.
     8       0.       0.       0.       0.       0.       0.       0.       0.       0.    7468.    2873.    2883.    4408.
     9       0.       0.       0.       0.       0.       0.       0.       0.       0.   15684.    6994.    5507.    9395.
    10       0.       0.       0.       0.       0.       0.       0.       0.       0.   28412.   15866.    5237.   16505.
    11       0.       0.       0.       0.       0.       0.       0.       0.       0.    7680.    2252.    5969.    5300.
    12       0.       0.       0.       0.       0.       0.       0.       0.       0.   18621.   10065.    8781.   12489.
    13       0.       0.       0.       0.       0.       0.       0.       0.       0.   14690.    6148.    2932.    7923.
    14       0.       0.       0.       0.       0.       0.       0.       0.       0.    3311.    1573.    2727.    2537.
    15       0.       0.       0.       0.       0.       0.       0.       0.       0.    4552.    4239.    2288.    3693.
    16       0.       0.       0.       0.       0.       0.       0.       0.       0.    3927.    3869.    5075.    4290.
    17       0.       0.       0.       0.       0.       0.       0.       0.       0.     988.    6267.    2048.    3101.
    18       0.       0.       0.       0.       0.       0.       0.       0.       0.    3383.    4354.    3318.    3685.
    19       0.       0.       0.       0.       0.       0.       0.       0.       0.    4612.    4258.    7613.    5494.
    20       0.       0.       0.       0.       0.       0.       0.       0.       0.    4249.    4902.    4562.    4571.
    21       0.       0.       0.       0.       0.       0.       0.       0.       0.    5498.    3243.    3053.    3931.
    22       0.       0.       0.       0.       0.       0.       0.       0.       0.    4478.    3368.    7552.    5133.
    23       0.       0.       0.       0.       0.       0.       0.       0.       0.    7269.    3808.    6117.    5731.
    24       0.       0.       0.       0.       0.       0.       0.       0.       0.    4664.    6687.    6617.    5989.
    25       0.       0.       0.       0.       0.       0.       0.       0.       0.    5653.    3056.    9322.    6010.
    26       0.       0.       0.       0.       0.       0.       0.       0.       0.    6827.    4435.    7115.    6126.
    27       0.       0.       0.       0.       0.       0.       0.       0.       0.   13214.    8951.   15793.   12652.
